Depth,Plot,Treatment,Block,Species,Total2012,Exotic2012,Native2012,PC1,PC2,Root_depth,SRL,LMA,Nmass,Aarea,LUE,WUE,Height,R.S,Seed_mass
Deep,80,Ordered,6,12,205.6454,16.87215,188.77325,-1.09501625,0.4599828,8.577300756,2.974939088,57.07662031,1.982740994,14.52201063,0.124979636,3.067808461,9.214083691,0.585841739,1.35296958
Medium,92,Ordered,7,2,186.81549,108.32026,78.49523,0.8760406,0.2086549,13.88143417,1.670013522,47.11192659,1.858294583,15.13568797,0.143826824,4.80369583,41.453726,2.403862774,4.75569051
Medium,93,Ordered,7,5,176.63502,34.91557,141.71945,-0.6472361,2.2038162,7.516144985,2.628237732,96.78785269,1.830167762,20.99908273,0.14646324,3.299589223,6.6758964,4.382511567,3.166028207
Medium,94,Ordered,7,8,194.50893,50.60139,143.90754,-1.1365,1.4403075,6.741763817,2.467452329,93.39355282,1.785031217,20.02999589,0.13391087,3.112088584,6.32881355,0.715630944,1.941568814
Medium,95,Ordered,7,12,278.63416,44.85778,233.77638,-0.167621152,0.607435449,12.50663835,2.478021425,58.14550413,2.53753837,17.31039224,0.140765103,3.588402342,8.687325547,1.291577092,4.262356509
Medium,96,Ordered,7,16,290.70777,59.1264,231.58137,-0.485577756,-0.142763828,8.705789775,2.15017173,48.24533626,2.165118478,16.59399628,0.138227442,3.730733367,10.15126666,0.560295299,1.460123576
Shallow,107,Ordered,8,2,190.56681,50.71174,139.85507,0.6256282,2.3371603,12.06923917,2.960221506,69.99118088,2.091526862,19.16954545,0.160169528,3.731328966,15.226322,8.89737976,5.33361597
Shallow,108,Ordered,8,5,203.53752,16.46789,187.06963,-0.3740311,1.7946641,10.113127,2.239469098,96.05996443,2.198940773,22.44604289,0.144961056,3.630562622,6.326006,1.874898597,4.759147248
Shallow,109,Ordered,8,8,310.19535,60.90479,249.29056,-0.9127556,0.8360408,8.492128684,3.381252445,70.38669618,1.78916375,16.40649659,0.136741244,3.372675531,12.4788471,1.361134569,2.074747371
Shallow,110,Ordered,8,12,378.26854,81.85142,296.41712,-1.008276734,-0.242917542,8.522368336,2.550129898,50.06353157,2.227193313,12.39796256,0.143122278,3.546775518,11.60048129,0.584098693,1.258528082
Shallow,111,Ordered,8,16,340.83669,82.09528,258.74141,-1.154229827,-0.066367591,8.497900737,3.701365339,49.64401394,1.884475383,12.98847676,0.134608136,3.508444432,12.36044346,0.463320526,1.249364552
Deep,122,Ordered,9,2,171.32138,62.65381,108.66758,0.6804356,1.8712974,12.46587167,2.67783555,64.98363157,2.040479651,18.28666089,0.156592624,3.966036351,20.966676,7.476153084,5.20712626
Deep,123,Ordered,9,5,463.23424,57.75497,405.47927,0.4888741,0.1480827,12.59365162,1.561434114,54.43655513,1.809566273,15.44041192,0.138330416,4.758760175,39.0764052,0.970984519,4.169047507
Deep,124,Ordered,9,8,282.23606,106.40503,175.83103,-1.2800059,0.943278967,7.340760709,3.963373592,79.00724698,1.742148433,15.84080788,0.138852885,3.883782629,11.46165138,1.287329997,2.223728626
Deep,125,Ordered,9,12,321.62236,69.97579,251.64657,-1.07696873,0.173181668,7.75802777,3.875345254,68.88460358,1.91132909,14.42116953,0.154278271,3.869186454,13.44921131,0.512328531,1.528497296
Shallow,6,Random,1,16,408.92239,80.10461,328.81778,1.2742578,-1.0195206,12.25068523,1.298723963,43.68832406,3.660450522,13.65210515,0.193467354,4.975548333,16.5217293,0.431682954,1.392612617
Shallow,7,Random,1,2,178.77569,91.14342,87.63226,1.2408784,-0.6062224,8.6648464,0.75343911,51.78327624,2.665184021,21.5039525,0.21491536,4.828673203,13.589312,0.261009533,2.14045054
Shallow,8,Random,1,5,143.24503,68.51848,74.72655,-0.3500344,-0.5437621,7.339568,3.01884998,52.22056456,2.024289554,16.65907537,0.175944048,4.430858267,13.600521,0.910607616,1.481506475
Shallow,9,Random,1,8,236.43788,49.52091,186.91697,-0.1861769,0.1402595,13.3254683,2.415410835,37.75258082,2.672500962,14.20769943,0.134485344,3.735427904,9.899475,1.587609921,4.365280238
Shallow,10,Random,1,12,299.36252,4.49055,294.87197,-0.773235032,0.048327983,10.1804718,2.576859439,33.08222095,2.274324443,12.23325022,0.109298373,3.038839672,9.596169762,0.607537942,1.091442304
Medium,21,Random,2,16,245.98752,6.18874,239.79878,-0.5605112,0.2090418,9.22924685,2.457737621,54.44433478,2.340378152,15.11935484,0.140525984,3.741027097,10.10238645,0.849872062,1.862594155
Medium,22,Random,2,2,147.05508,65.27511,81.77997,-0.0587885,1.5483663,9.400323602,2.899542635,69.42278741,2.447787275,17.49161152,0.180107934,3.510087997,7.2986294,6.238590608,3.32127941
Medium,23,Random,2,5,235.43516,67.39047,168.04469,-1.452755328,1.255076951,5.07295513,2.183709141,101.3733848,1.666756861,20.87684267,0.14558399,3.062504106,5.351940519,0.262437443,1.453126926
Medium,24,Random,2,8,280.22935,31.50103,248.72832,-0.7416721,0.8592565,9.059372667,2.690100905,62.54335756,2.069854235,16.69602334,0.128815052,3.005287146,8.5883296,1.393913582,1.74389454
Medium,25,Random,2,12,270.19387,28.84279,241.35108,-0.301331073,-0.093159537,10.50707016,1.984785428,41.41402411,2.406790342,15.64197184,0.131158419,4.041773741,9.015532639,0.913810213,2.409609123
Shallow,37,Random,3,2,323.23156,87.43619,235.79537,-0.4823078,0.0769002,11.2498107,2.464249076,28.95005875,2.39158074,12.73152111,0.106560386,3.127477617,8.97383775,0.459308481,1.112723484
Shallow,38,Random,3,5,288.24252,34.64314,253.59938,-1.6493477,-0.3069834,5.01802405,1.941351479,64.01166763,1.792290957,14.73090716,0.146501638,3.688340346,8.1801356,0.393967976,0.848852
Shallow,39,Random,3,8,311.08007,98.67001,212.41006,-0.2578393,-0.5891661,7.563059617,2.618651561,50.94987006,1.930740867,17.54199522,0.158452652,4.660968745,13.91726925,0.724924707,1.228942021
Shallow,40,Random,3,12,252.54515,45.44928,207.09588,-0.457420874,0.021836318,8.851866952,3.14784521,54.63916086,2.063582372,16.80145696,0.151730581,4.049486512,12.36194277,1.059080993,1.53555841
