Depth,Plot,Treatment,Block,Species,Total2010,Exotic2010,Native2010,PC1,PC2,Root_depth,SRL,LMA,Nmass,Aarea,LUE,WUE,Height,R.S,Seed_mass
Shallow,2,Ordered,1,2,19.09213333,0.490133333,18.602,0.9017134,-0.0095639,14.06722417,1.537738717,44.76629786,1.834383125,14.72212851,0.142151336,4.913637111,44.142614,1.738133909,4.69644039
Shallow,3,Ordered,1,5,515.272,0,515.272,-1.35200198,1.782632274,5.070592544,2.176907768,112.5980651,1.58352281,22.63139902,0.13979768,2.951604428,4.700162998,0.326112863,1.737976937
Shallow,4,Ordered,1,8,669.5816667,0,669.5816667,-0.929504995,0.396667767,9.552869812,3.281228229,49.06159873,2.069432853,13.49535466,0.118484015,3.224463444,10.56375354,0.617824229,1.459116692
Shallow,5,Ordered,1,12,313.6143333,3.186666667,310.4276667,-0.980920082,-0.001348073,9.887532599,3.928119779,48.40055411,2.001533634,12.96472002,0.135166777,3.590680688,12.73596558,0.528142951,2.037776759
Shallow,6,Random,1,16,228.2336667,15.29433333,212.9393333,-1.1636407,-0.4486833,8.702553433,3.038157199,37.88545263,2.04563026,11.66282968,0.130617624,3.347064159,11.2242296,0.370079712,0.969483163
Shallow,7,Random,1,2,358.3333333,0,358.3333333,1.325816,-0.768376,8.518136,0.879456541,47.44264412,2.816888973,20.60922884,0.2295864,5.024839253,13.43488,0.248540021,2.3916921
Shallow,8,Random,1,5,389.5583333,0,389.5583333,-1.262488225,-0.872074521,6.732111988,6.522772336,59.17631407,1.413749842,11.95362029,0.19675927,5.037727548,22.04775548,0.153337127,1.83200651
Shallow,9,Random,1,8,351.0866667,8.750666667,342.336,-0.457772822,-0.064126159,11.42370693,2.444824588,31.05762224,2.472683512,12.80679246,0.124124189,3.14964919,9.620562794,0.640504897,2.071380176
Shallow,10,Random,1,12,201.9673333,0,201.9673333,-0.538266783,0.059065991,11.32956435,2.747972414,35.01514087,2.360940087,13.68783355,0.117924463,3.090630293,10.15796618,0.61234514,1.785166679
Medium,17,Ordered,2,2,1322.332,1295,27.332,0.9036742,-0.0262307,14.08141417,1.527636023,44.58714682,1.83255685,14.69054227,0.142023368,4.922034048,44.347982,1.687287832,4.69191507
Medium,18,Ordered,2,5,678.6683333,129.575,549.0933333,-0.9905769,1.7743221,6.98596835,2.179630469,107.126022,1.817169485,22.77207034,0.142009328,3.180387002,5.0430616,0.739644437,2.891796257
Medium,19,Ordered,2,8,456.3356667,0,456.3356667,-1.066553134,0.313138069,8.827572074,3.711899801,55.67389935,1.882374151,14.04083256,0.128395254,3.388627284,11.66886761,0.381049483,1.384125408
Medium,20,Ordered,2,12,309.5936667,0,309.5936667,-1.5191494,0.1644657,6.78109255,3.769584128,68.31745058,1.672602681,14.43159482,0.144840512,3.715221193,11.42624465,0.298633093,1.295180193
Medium,21,Random,2,16,475.4346667,0,475.4346667,-0.482332977,0.326638834,8.057070446,2.118962538,66.02706724,2.090693053,19.81989844,0.146392132,3.556585718,9.268842912,0.354214272,1.448912339
Medium,22,Random,2,2,89.881,11.88,78.001,0.57,2.81,11.66666667,3.246836497,75.07372365,2.143338561,20.06565215,0.1638,3.493106584,9.4,10.33989084,5.462
Medium,23,Random,2,5,547.739,4.250666667,543.4883333,-1.35204012,1.069745697,5.351299913,2.115463905,96.98882671,1.721008986,21.37844464,0.147673357,3.114470403,5.90201602,0.253289863,1.330600886
Medium,24,Random,2,8,848.7403333,3.023666667,845.7166667,-0.7493405,0.4450171,9.518560767,2.622763476,52.04914552,2.142990831,16.02508882,0.120954462,2.931916688,9.0387894,0.402054025,1.220132525
Medium,25,Random,2,12,147.3496667,0,147.3496667,-0.012728745,0.003202436,13.50888367,2.282985935,36.11116759,2.694411535,15.13778759,0.133063087,3.959531909,8.979867253,1.163149967,3.979396669
Shallow,32,Ordered,3,2,151.3503333,53.796,97.55433333,0.6475732,2.1506278,12.22805167,2.847153566,67.98614744,2.07108745,18.81603658,0.158737328,3.825306304,17.524772,8.328317564,5.28296922
Shallow,33,Ordered,3,5,578.5946667,0,578.5946667,-1.349580404,1.779828002,5.078189318,2.174705456,112.5963541,1.582226242,22.64639621,0.139880263,2.948218612,4.730598294,0.31777337,1.738502105
Shallow,34,Ordered,3,8,227.2713333,0,227.2713333,-0.470662793,0.680104099,11.33712018,2.500312948,51.09509689,2.346622633,15.8759988,0.117909575,3.010977351,8.13395746,0.794889477,2.598042687
Shallow,35,Ordered,3,12,576.2486667,0,576.2486667,-1.196799832,0.118747413,8.64697773,3.001977693,48.88914289,2.011706581,12.8234457,0.125978566,3.167321381,9.907128229,0.671704519,1.257533938
Shallow,36,Ordered,3,16,507.7336667,33.26666667,474.467,-0.326442436,-0.139895401,10.2214376,2.793913569,49.26568772,2.253718904,16.12357582,0.148910761,3.90651484,11.80348647,0.633308355,2.580660952
Shallow,37,Random,3,2,267.239,0,267.239,-0.3751614,-0.0078574,11.1130791,2.343937681,29.55025841,2.407220812,13.29453101,0.110894218,3.534784407,8.76794075,0.439776626,1.078787127
Shallow,38,Random,3,5,518.7916667,0,518.7916667,-0.256362036,-0.476245438,6.737334227,0.918150534,53.34597239,2.030279339,19.9121525,0.144554728,3.97163213,9.039700003,0.184835218,0.814873751
Shallow,39,Random,3,8,467.1073333,9.895,457.2123333,-0.5914133,-0.8493357,7.43440985,3.791802648,51.50233593,1.761899395,15.7047476,0.164902366,4.973905965,16.322949,0.18046391,1.129628617
Shallow,40,Random,3,12,563.3776667,0,563.3776667,-0.436874631,-0.025343847,10.57648587,2.350683638,33.21433024,2.326177093,14.08256086,0.114878579,3.251142612,9.505696143,0.423179677,1.075519784
Deep,47,Ordered,4,2,45.102,0,45.102,0.8470314,0.4552331,13.67149917,1.81947857,49.76238984,1.88531354,15.60299302,0.145720056,4.679466739,38.415394,3.156108801,4.82264069
Deep,48,Ordered,4,5,426.125,156,270.125,-0.295354154,1.717609876,10.6214777,2.13788892,98.04581666,2.224983365,23.54149873,0.147961098,3.500987374,5.698211382,1.247865173,5.031404363
Deep,49,Ordered,4,8,578.6083,2.6963,575.912,-1.096690133,0.550532095,8.509946684,3.414762575,61.79278727,1.876953836,15.01438547,0.126672503,3.165979752,10.4595226,0.410212038,1.431918663
Deep,50,Ordered,4,12,681.6896667,0,681.6896667,-1.123192768,0.894484855,7.483411949,2.617641333,76.52823371,1.881002208,17.48559932,0.130486133,3.021351882,7.711091539,0.345044759,1.457857971
Deep,51,Ordered,4,16,638.1656667,44.85,593.3156667,-0.2468841,-0.0515927,11.2198939,2.540826859,40.54892107,2.42592705,15.18067687,0.136889898,3.570560732,10.7831735,0.677158562,2.466624167
Deep,52,Random,4,2,696.804,50.69733333,646.1066667,-2.1852636,-0.8305288,6.278816667,8.744166807,66.65553764,0.815196126,9.176281469,0.184091472,5.056268159,26.30956,0.111914179,1.6871894
Deep,53,Random,4,5,720.4316667,8.698666667,711.733,-0.748100581,0.695614256,10.02842202,2.408403557,60.43685493,2.198688614,16.50779702,0.125473697,3.052728692,7.508883889,0.732234936,2.508832288
Deep,54,Random,4,8,708.488,38.176,670.312,-0.709776898,-0.038917889,10.46289338,3.161902146,34.54613056,2.187965817,12.53546362,0.116716831,3.107246251,11.37383374,0.402428204,1.170720475
Deep,55,Random,4,12,842.7986667,49.31766667,793.481,-0.4684393,-0.1300242,9.592192267,2.045475001,38.65586529,2.285262085,15.42319469,0.126156078,3.236996136,9.4538514,0.389969092,1.053405544
Medium,62,Ordered,5,2,575.1373333,544.857,30.28033333,0.7165014,1.5647381,12.72687417,2.492012551,61.68843289,2.006888228,17.70568209,0.154238856,4.120484649,24.744094,6.540920304,5.12389019
Medium,63,Ordered,5,5,679.0003333,0,679.0003333,-1.346162238,1.785837942,5.088421799,2.179426112,112.5492737,1.58398963,22.64434749,0.139944663,2.94828867,4.695860641,0.351305196,1.747331059
Medium,64,Ordered,5,8,507.179,129.2863333,377.8926667,-0.7880891,0.3616245,10.18836527,2.843396469,42.95121161,2.176793416,13.57019768,0.111907216,2.854514535,9.3846418,0.451876714,1.27001668
Medium,65,Ordered,5,12,530.5746667,10.30066667,520.274,-1.364848352,-0.131387986,7.747840055,3.486256142,55.87413963,1.880220547,12.78196196,0.141654721,3.549600708,11.7252741,0.311395152,1.199560769
Medium,66,Ordered,5,16,569.052,1.662,567.39,-0.562248822,-0.267144571,7.911921869,1.790855741,49.92446483,2.133297032,16.93491816,0.140972834,3.61266068,9.568396534,0.289261148,1.004883131
Medium,67,Random,5,2,452.6666667,0,452.6666667,0.07,0.02,8.4,1.352160634,69.25333822,2.318,28.89422794,0.1684,3.540652037,10.1,0.205531239,0.51625
Medium,68,Random,5,5,666.8296667,0,666.8296667,0.654493155,-0.846437736,8.709641254,1.32150517,40.54110856,2.770006093,18.12260949,0.190656439,6.491187814,7.911859681,0.244801721,1.209962059
Medium,69,Random,5,8,493.709,0,493.709,0.3800376,-0.3840388,8.7349488,1.322996837,58.23754962,2.671509615,23.19869032,0.184638016,4.559561592,9.890254,0.221397696,0.832619733
Medium,70,Random,5,12,642.8926667,7.057666667,635.835,-0.6506892,0.1064252,11.0989186,2.591947015,29.55207138,2.347001425,12.19238766,0.104978658,2.748897447,9.32274965,0.464618586,1.123113141
Deep,77,Ordered,6,2,778.8036667,611.3333333,167.4703333,0.7690934,1.1177061,13.10747417,2.221041072,56.88329647,1.957904424,16.85848509,0.150806536,4.345704798,30.252414,5.177141812,5.00251339
Deep,78,Ordered,6,5,868.6976667,407,461.6976667,-0.1046383,1.7063428,11.6434043,2.13211555,95.28381468,2.348348474,23.66066368,0.149187144,3.616811102,5.8675528,1.416565341,5.64478911
Deep,79,Ordered,6,8,438.4531,2.1461,436.307,-1.105908959,0.390710707,8.89563339,4.227118421,64.17144728,1.784711513,14.87590347,0.139533157,3.555746094,12.88190442,0.477835426,2.110839781
