Depth,Plot,Treatment,Block,Species,Year,Total,Exotic,Native,PC1CWM,PC2CWM
Medium,94,Ordered,7,8,2011,408.57,45.32,363.2433333,-0.8827575,0.9253796
Medium,95,Ordered,7,12,2011,506.84,31.55,475.2866667,1.3671311,-0.7787672
Medium,96,Ordered,7,16,2011,525.54,182.1,343.4366667,-0.651773318,-0.392208722
Shallow,107,Ordered,8,2,2011,328.01,222.3,105.7133333,0.7096196,1.6232334
Shallow,108,Ordered,8,5,2011,317.75,168.83,148.9216667,-0.430782292,1.10897051
Shallow,109,Ordered,8,8,2011,321.04,131.38,189.66,-1.262661853,0.932436449
Shallow,110,Ordered,8,12,2011,411.41,149.73,261.6766667,-0.069199792,-0.322340923
Shallow,111,Ordered,8,16,2011,509.47,190.57,318.8983333,0.282841157,-0.168782376
Deep,122,Ordered,9,2,2011,325.58,160.5,165.0833333,0.7074574,1.6416121
Deep,123,Ordered,9,5,2011,302.53,91.32,211.2083333,0.0618354,0.9855347
Deep,124,Ordered,9,8,2011,355.17,94.09,261.0766667,-1.097159228,1.05895561
Deep,125,Ordered,9,12,2011,767.94,134.38,633.5566667,1.515674113,-1.117079842
Shallow,2,Ordered,1,2,2012,399.8003,15.99938,383.80092,0.9331394,-0.2766849
Shallow,3,Ordered,1,5,2012,210.3269,31.90948,178.41742,-0.794238158,1.415919841
Shallow,4,Ordered,1,8,2012,241.27174,22.00267,219.26907,-0.9165028,1.0074956
Shallow,5,Ordered,1,12,2012,651.94742,90.48216,561.46526,1.940259103,-1.027249072
Medium,17,Ordered,2,2,2012,85.66594,54.47724,31.18869,0.6737096,1.9284684
Medium,18,Ordered,2,5,2012,220.71015,28.60036,192.10979,-0.708251717,1.470779792
Medium,19,Ordered,2,8,2012,254.74654,37.84442,216.90212,-1.26698937,0.871529315
Medium,20,Ordered,2,12,2012,228.24605,22.56656,205.67949,-0.86895049,0.362918629
Shallow,32,Ordered,3,2,2012,110.82083,41.43576,69.38507,0.6299222,2.3006613
Shallow,33,Ordered,3,5,2012,282.91644,82.38186,200.53458,-0.977529175,1.979537395
Shallow,34,Ordered,3,8,2012,214.11827,12.5689,201.54937,-0.70296033,0.856449064
Shallow,35,Ordered,3,12,2012,414.48864,24.8376,389.65104,0.800859409,-0.503310933
Shallow,36,Ordered,3,16,2012,240.99584,41.59807,199.39777,-0.765090351,0.247370774
Deep,47,Ordered,4,2,2012,234.77122,62.83887,171.93235,0.7633174,1.1668021
Deep,48,Ordered,4,5,2012,215.25855,36.61773,178.64083,-0.5571262,1.7769903
Deep,49,Ordered,4,8,2012,247.24129,23.52004,223.72125,-0.982340823,0.699720997
