Depth,Plot,Treatment,Block,Species,Total2011,Exotic2011,Native2011,PC1,PC2,Root_depth,SRL,LMA,Nmass,Aarea,LUE,WUE,Height,R.S,Seed_mass
Shallow,2,Ordered,1,2,218.05,148.88,69.165,0.8644848,0.3068792,13.79780667,1.729552848,48.16773727,1.869057571,15.3218387,0.144580992,4.754209235,40.243408,2.703519595,4.78236008
Shallow,3,Ordered,1,5,262.32,68.57,193.75,-0.873353734,1.506807168,7.167490442,2.130670603,96.55224486,1.744432382,20.31995686,0.137508161,3.569666671,12.15461715,1.093053029,2.628452746
Shallow,4,Ordered,1,8,413.41,149.14,264.2616667,-0.6834541,1.0635045,9.51389265,2.77558574,77.11254551,2.050913934,18.92070268,0.136613262,3.378657473,8.17161175,0.883964154,3.023309351
Shallow,5,Ordered,1,12,626.73,96.61,530.115,1.753831962,-0.983525365,13.14678742,0.942074581,49.73948285,4.028315937,14.24162136,0.209223042,5.14020379,17.11443376,0.402488721,1.588132753
Shallow,6,Random,1,16,440.56,162.57,277.9866667,0.1037183,-0.2731183,10.01780123,2.251342249,49.79587447,2.669805675,15.23062703,0.167914648,4.081984255,12.5879373,0.422617046,1.835775022
Shallow,7,Random,1,2,177.49,103.19,74.30833333,1.1485136,-0.4298896,8.8243856,0.616402334,56.50346633,2.500213529,22.4769135,0.19896144,4.615353802,13.757248,0.274569417,1.86723966
Shallow,8,Random,1,5,192.86,20.49,172.3616667,1.0065416,-0.7106738,8.192744334,1.607585741,43.89543732,2.853788887,18.33476826,0.234421752,5.029353777,12.426874,1.039042838,2.69093952
Shallow,9,Random,1,8,260.83,111.58,149.2583333,-0.343752062,-0.09697173,8.546588201,2.135699816,40.38881642,2.502957304,13.25011013,0.152735987,4.17256765,10.97140729,1.146084363,1.698889278
Shallow,10,Random,1,12,273.31,110.23,163.08,-1.102210578,0.101324787,8.88701248,3.415564634,46.51084827,1.989580227,12.60663071,0.123054489,3.369874486,11.42606814,0.568503082,1.227150572
Medium,17,Ordered,2,2,382.02,186.71,195.3083333,0.874969,0.2177635,13.87367917,1.675534762,47.20983471,1.859292664,15.15295022,0.14389676,4.799106807,41.34149,2.431650746,4.75816365
Medium,18,Ordered,2,5,415.51,139.15,276.3583333,-0.263422866,1.096207438,9.392314895,2.016330656,78.54459383,1.768929116,18.2412066,0.139632058,4.010975676,22.57510665,1.886934978,3.298361776
