Depth,Plot,Treatment,Block,Species,Year,Total,Exotic,Native
Medium,22,Random,2,2,2011,393.07,140.83,252.2366667
Medium,23,Random,2,5,2011,396.94,230.99,165.95
Medium,24,Random,2,8,2011,261.46,149.63,111.8316667
Medium,25,Random,2,12,2011,240.44,67.80,172.6383333
Shallow,32,Ordered,3,2,2011,310.69,221.17,89.52166667
Shallow,33,Ordered,3,5,2011,359.91,112.88,247.035
Shallow,34,Ordered,3,8,2011,410.84,193.33,217.5083333
Shallow,35,Ordered,3,12,2011,400.88,128.95,271.93
Shallow,36,Ordered,3,16,2011,349.14,90.35,258.7916667
Shallow,37,Random,3,2,2011,328.99,259.36,69.63333333
Shallow,38,Random,3,5,2011,425.15,152.53,272.6266667
Shallow,39,Random,3,8,2011,116.85,77.08,39.76666667
Shallow,40,Random,3,12,2011,352.22,184.83,167.3816667
Deep,47,Ordered,4,2,2011,485.44,288.17,197.27
Deep,48,Ordered,4,5,2011,339.88,144.00,195.88
Deep,49,Ordered,4,8,2011,368.80,104.83,263.965
Deep,50,Ordered,4,12,2011,681.61,32.41,649.2016667
Deep,51,Ordered,4,16,2011,989.80,247.50,742.3016667
Deep,52,Random,4,2,2011,253.86,162.50,91.35666667
Deep,53,Random,4,5,2011,338.16,237.74,100.4216667
Deep,54,Random,4,8,2011,280.64,42.66,237.985
Deep,55,Random,4,12,2011,642.03,577.17,64.86666667
Medium,62,Ordered,5,2,2011,392.11,81.66,310.4566667
Medium,63,Ordered,5,5,2011,312.81,185.82,126.9916667
Medium,64,Ordered,5,8,2011,328.23,202.80,125.4233333
Medium,65,Ordered,5,12,2011,822.20,200.04,622.16
Medium,66,Ordered,5,16,2011,471.89,167.64,304.25
Medium,67,Random,5,2,2011,269.98,226.86,43.12333333
Medium,68,Random,5,5,2011,449.43,407.85,41.585
Medium,69,Random,5,8,2011,506.11,169.26,336.8483333
Medium,70,Random,5,12,2011,394.38,238.11,156.2733333
Deep,77,Ordered,6,2,2011,294.19,131.20,162.9916667
Deep,78,Ordered,6,5,2011,355.86,129.43,226.435
Deep,79,Ordered,6,8,2011,299.42,100.83,198.5816667
Deep,80,Ordered,6,12,2011,477.92,39.67,438.255
Deep,81,Random,6,16,2011,434.88,80.67,354.215
Deep,82,Random,6,2,2011,412.23,122.91,289.3166667
Deep,83,Random,6,5,2011,345.07,280.84,64.22666667
Deep,84,Random,6,8,2011,338.47,148.88,189.595
Deep,85,Random,6,12,2011,437.05,153.52,283.5316667
Medium,92,Ordered,7,2,2011,298.39,259.67,38.71833333
Medium,93,Ordered,7,5,2011,282.07,113.51,168.5633333
Medium,94,Ordered,7,8,2011,408.57,45.32,363.2433333
Medium,95,Ordered,7,12,2011,506.84,31.55,475.2866667
Medium,96,Ordered,7,16,2011,525.54,182.10,343.4366667
Medium,97,Random,7,2,2011,338.11,207.81,130.3016667
Medium,98,Random,7,5,2011,390.66,127.17,263.4933333
Medium,99,Random,7,8,2011,359.03,51.62,307.41
Medium,100,Random,7,12,2011,261.40,83.10,178.295
Shallow,107,Ordered,8,2,2011,328.01,222.30,105.7133333
Shallow,108,Ordered,8,5,2011,317.75,168.83,148.9216667
Shallow,109,Ordered,8,8,2011,321.04,131.38,189.66
Shallow,110,Ordered,8,12,2011,411.41,149.73,261.6766667
Shallow,111,Ordered,8,16,2011,509.47,190.57,318.8983333
Shallow,112,Random,8,2,2011,512.89,178.57,334.3216667
Shallow,113,Random,8,5,2011,447.46,222.51,224.9533333
Shallow,114,Random,8,8,2011,911.96,36.18,875.7783333
Shallow,115,Random,8,12,2011,325.53,214.61,110.9283333
Deep,122,Ordered,9,2,2011,325.58,160.50,165.0833333
Deep,123,Ordered,9,5,2011,302.53,91.32,211.2083333
Deep,124,Ordered,9,8,2011,355.17,94.09,261.0766667
Deep,125,Ordered,9,12,2011,767.94,134.38,633.5566667
Deep,126,Random,9,16,2011,601.70,200.21,401.4966667
Deep,127,Random,9,2,2011,745.52,317.17,428.35
Deep,128,Random,9,5,2011,397.92,164.17,233.75
Deep,129,Random,9,8,2011,310.50,28.98,281.52
Deep,130,Random,9,12,2011,277.41,95.53,181.875
Shallow,2,Ordered,1,2,2012,399.80030,15.99938,383.80092
Shallow,3,Ordered,1,5,2012,210.32690,31.90948,178.41742
Shallow,4,Ordered,1,8,2012,241.27174,22.00267,219.26907
Shallow,5,Ordered,1,12,2012,651.94742,90.48216,561.46526
Shallow,6,Random,1,16,2012,408.92239,80.10461,328.81778
Shallow,7,Random,1,2,2012,178.77569,91.14342,87.63226
Shallow,8,Random,1,5,2012,143.24503,68.51848,74.72655
Shallow,9,Random,1,8,2012,236.43788,49.52091,186.91697
Shallow,10,Random,1,12,2012,299.36252,4.49055,294.87197
Medium,17,Ordered,2,2,2012,85.66594,54.47724,31.18869
Medium,18,Ordered,2,5,2012,220.71015,28.60036,192.10979
Medium,19,Ordered,2,8,2012,254.74654,37.84442,216.90212
Medium,20,Ordered,2,12,2012,228.24605,22.56656,205.67949
Medium,21,Random,2,16,2012,245.98752,6.18874,239.79878
Medium,22,Random,2,2,2012,147.05508,65.27511,81.77997
Medium,23,Random,2,5,2012,235.43516,67.39047,168.04469
Medium,24,Random,2,8,2012,280.22935,31.50103,248.72832
Medium,25,Random,2,12,2012,270.19387,28.84279,241.35108
Shallow,32,Ordered,3,2,2012,110.82083,41.43576,69.38507
Shallow,33,Ordered,3,5,2012,282.91644,82.38186,200.53458
Shallow,34,Ordered,3,8,2012,214.11827,12.56890,201.54937
Shallow,35,Ordered,3,12,2012,414.48864,24.83760,389.65104
Shallow,36,Ordered,3,16,2012,240.99584,41.59807,199.39777
Shallow,37,Random,3,2,2012,323.23156,87.43619,235.79537
Shallow,38,Random,3,5,2012,288.24252,34.64314,253.59938
Shallow,39,Random,3,8,2012,311.08007,98.67001,212.41006
Shallow,40,Random,3,12,2012,252.54515,45.44928,207.09588
Deep,47,Ordered,4,2,2012,234.77122,62.83887,171.93235
Deep,48,Ordered,4,5,2012,215.25855,36.61773,178.64083
Deep,49,Ordered,4,8,2012,247.24129,23.52004,223.72125
Deep,50,Ordered,4,12,2012,301.66902,52.79818,248.87085
Deep,51,Ordered,4,16,2012,393.63582,92.18699,301.44883
